index,country_code,litres,life_expectancy,country_name,longitude,latitude
154,BRN,0.689,74.77770000000001,Brunei Darussalam,114.946,4.94199
155,COD,0.662,58.3977,"Congo, Dem. Rep.",15.3222,-4.325
156,AZE,0.659,71.34349999999999,Azerbaijan,49.8932,40.3834
157,TCD,0.609,51.41799999999999,Chad,15.0445,12.1048
158,MLI,0.607,58.075599999999994,Mali,-7.50034,13.5667
159,MYS,0.5810000000000001,75.1576,Malaysia,101.684,3.12433
160,DZA,0.5109999999999999,75.1495,Algeria,3.05097,36.7397
161,OMN,0.46799999999999997,77.4125,Oman,58.5874,23.6105
162,KIR,0.45499999999999996,65.998,Kiribati,172.979,1.32905
163,MAR,0.446,72.6557,Morocco,-6.8704,33.9905
164,TON,0.438,70.5822,Tonga,-175.216,-21.136
165,TLS,0.40099999999999997,66.8922,Timor-Leste,125.567,-8.56667
166,DJI,0.33399999999999996,61.747,Djibouti,43.1425,11.5806
167,JOR,0.329,74.9452,Jordan,35.9263,31.9497
168,GIN,0.29900000000000004,58.189699999999995,Guinea,-13.7,9.51667
169,NPL,0.29,68.1326,Nepal,85.3157,27.6939
170,SYR,0.274,68.25,Syrian Arab Republic,36.3119,33.5146
171,SEN,0.211,66.66069999999999,Senegal,-17.4734,14.7247
172,EGY,0.17099999999999999,70.545,"Egypt, Arab Rep.",31.2461,30.0982
173,IRQ,0.164,69.1842,Iraq,44.394,33.3302
174,BTN,0.159,70.07050000000001,Bhutan,89.6177,27.5768
175,COM,0.154,62.693799999999996,Comoros,43.2418,-11.6986
176,NER,0.11699999999999999,60.825900000000004,Niger,2.1073,13.514
177,IDN,0.08299999999999999,69.5561,Indonesia,106.83,-6.19752
178,PAK,0.039,65.5412,Pakistan,72.8,30.5167
179,YEM,0.032,66.45320000000001,"Yemen, Rep.",44.2075,15.352
180,IRN,0.020999999999999998,74.9158,"Iran, Islamic Rep.",51.4447,35.6878
181,AFG,0.01,62.4612,Afghanistan,69.1761,34.5228
182,LBY,0.009,71.9736,Libya,13.1072,32.8578
183,BGD,0.002,70.5294,Bangladesh,90.4113,23.7055
184,SAU,0.0,76.7499,Saudi Arabia,46.6977,24.6748
185,MRT,0.0,64.3428,Mauritania,-15.9824,18.2367
186,KWT,0.0,79.23179999999999,Kuwait,47.9824,29.3721
187,SOM,0.0,54.21560000000001,Somalia,45.3254,2.07515
